,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
316,mogzon,44,RU,1548867480,51,5.82,51.74,111.97,11.23
317,marquard,36,ZA,1548867480,97,57.44,-28.66,27.43,3.62
318,paratinga,8,BR,1548867481,33,95.91,-12.69,-43.18,5.08
319,moron,20,VE,1548864000,51,86.0,10.49,-68.2,2.62
320,mitsamiouli,20,KM,1548864000,70,84.2,-11.38,43.28,2.24
321,dunedin,0,NZ,1548867281,88,55.46,-45.87,170.5,2.73
322,voh,12,NC,1548867485,100,76.88,-20.95,164.69,12.91
323,karratha,20,AU,1548867485,81,80.16,-20.74,116.85,12.46
324,varhaug,20,NO,1548865200,59,37.4,58.61,5.65,18.34
325,san patricio,0,PY,1548867486,51,95.46,-26.98,-56.83,7.43
326,ust-karsk,0,RU,1548867486,25,-18.75,52.71,118.82,2.39
327,otane,0,NZ,1548867486,86,57.26,-39.89,176.62,3.4
328,mokhsogollokh,32,RU,1548867486,0,-30.32,61.4,128.95,2.95
329,berdyaush,88,RU,1548867486,71,8.21,55.17,59.15,3.29
330,namatanai,36,PG,1548867487,100,82.28,-3.66,152.44,12.01
331,olinda,75,EC,1548864000,83,80.6,-2.03,-79.75,5.82
332,topolovgrad,75,BG,1548864000,81,51.8,42.08,26.33,4.7
333,pitimbu,75,BR,1548864000,52,89.6,-7.47,-34.81,14.99
334,dimbokro,44,CI,1548867488,53,88.17,6.65,-4.7,4.74
335,russell,0,AR,1548864000,59,89.6,-33.01,-68.8,9.17
336,la ronge,75,CA,1548864000,73,-36.41,55.1,-105.3,4.7
337,aracuai,0,BR,1548867489,32,93.53,-16.85,-42.07,10.11
338,gambela,0,ET,1548867489,77,68.06,8.25,34.59,2.39
339,nouadhibou,0,MR,1548864000,60,69.8,20.93,-17.03,19.46
340,mount barker,75,AU,1548865800,52,66.2,-35.06,138.86,16.11
341,thunder bay,75,CA,1548864000,56,-16.61,48.41,-89.26,17.22
342,mount gambier,40,AU,1548864000,71,57.2,-37.83,140.78,8.05
343,huarmey,8,PE,1548867490,48,83.54,-10.07,-78.15,4.74
344,sharjah,0,AE,1548864000,60,71.6,25.36,55.39,9.17
345,japura,36,ID,1548867491,96,73.59,-0.42,102.29,1.5
346,kununurra,40,AU,1548865800,58,86.0,-15.77,128.74,8.05
347,meadow lake,90,CA,1548865080,70,-5.81,54.13,-108.44,12.75
348,saldanha,92,PT,1548867492,98,44.93,41.42,-6.55,12.68
349,lompoc,90,US,1548866160,100,53.06,34.64,-120.46,4.7
350,saint-denis,90,FR,1548865800,78,37.4,48.94,2.36,5.82
351,baturaja,88,ID,1548867494,99,71.52,-4.12,104.17,3.4
352,bonavista,92,CA,1548867489,95,30.39,48.65,-53.11,12.68
353,brzesko,20,PL,1548865800,86,30.2,49.97,20.61,5.82
354,new iberia,1,US,1548867180,32,46.04,30.0,-91.82,9.17
355,vao,48,EE,1548867495,87,27.24,59.1,26.19,7.99
356,ruiz,40,MX,1548863220,62,57.2,21.95,-105.15,2.73
357,puerto escondido,5,MX,1548862800,57,80.6,15.86,-97.07,2.17
358,tabriz,75,IR,1548865800,69,39.2,38.08,46.29,6.93
359,atherton,40,GB,1548865200,91,41.0,53.52,-2.49,2.24
360,casa nova,8,BR,1548867496,65,84.39,-11.77,-39.23,10.78
361,fortuna,0,ES,1548865800,47,62.6,38.18,-1.13,10.29
362,kodiak,75,US,1548866100,14,-5.81,39.95,-94.76,5.82
363,boyolangu,68,ID,1548867497,97,70.49,-8.09,111.9,2.17
364,srivardhan,0,IN,1548867497,91,64.95,18.03,73.02,5.19
365,camacha,40,PT,1548864000,67,62.6,33.08,-16.33,12.75
366,sal rei,75,CV,1548864000,64,77.0,16.18,-22.92,18.34
367,manggar,92,ID,1548867498,100,74.94,-2.88,108.27,2.95
368,sungaipenuh,48,ID,1548867498,96,65.22,-2.08,101.38,0.6
369,nouakchott,0,MR,1548865800,10,87.8,18.08,-15.98,12.75
370,puerto baquerizo moreno,40,EC,1548864000,78,82.4,-0.9,-89.6,14.99
371,non sung,64,TH,1548864000,64,75.2,15.18,102.26,3.36
372,muros,75,ES,1548866880,93,53.6,42.77,-9.06,13.87
373,cochrane,32,CL,1548867499,36,54.38,-47.25,-72.57,3.62
374,grindavik,75,IS,1548865800,62,24.8,63.84,-22.43,19.46
375,obo,12,CF,1548867500,89,74.76,5.39,26.49,4.97
376,mozarlandia,0,BR,1548867500,67,90.56,-14.74,-50.57,7.2
377,inhambane,40,MZ,1548864000,78,80.6,-23.87,35.38,4.7
378,bambous virieux,75,MU,1548864000,88,78.8,-20.34,57.76,3.36
379,srednekolymsk,24,RU,1548867501,0,-45.08,67.46,153.71,2.39
380,pelotas,40,BR,1548864000,74,84.2,-31.77,-52.34,9.17
